customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
AA-103151,8,10,1445,4,2,2,422,Potential
AA-103152,13,16,6105,4,4,4,444,Champions
AA-103153,694,5,633,1,1,1,111,At Risk
AA-103154,184,11,5565,2,3,4,234,Potential
AA-103751,6,9,2407,4,2,3,423,Potential
AA-103752,317,7,560,1,2,1,121,At Risk
AA-103753,34,11,1861,4,3,2,432,Potential
AA-103754,19,15,1056,4,4,2,442,Loyal Customers
AA-104801,125,6,5946,2,1,4,214,Potential
AA-104802,229,10,5253,2,2,4,224,Potential
AA-104803,236,10,4704,2,2,4,224,Potential
AA-104804,259,12,1792,2,3,2,232,Potential
AA-106451,28,24,5264,4,4,4,444,Champions
AA-106452,233,16,2730,2,4,3,243,Loyal Customers
AA-106453,55,15,2263,3,4,3,343,Loyal Customers
AA-106454,55,18,5087,3,4,4,344,Loyal Customers
AA-3151,153,1,11,2,1,1,211,Potential
AA-3152,2,7,2234,4,2,3,423,Potential
AA-3751,299,6,365,1,1,1,111,At Risk
AA-3752,825,1,27,1,1,1,111,At Risk
AA-3753,253,6,261,2,1,1,211,Potential
AA-4801,875,5,496,1,1,1,111,At Risk
AA-4802,937,1,1085,1,1,2,112,At Risk
AA-4803,314,4,482,1,1,1,111,At Risk
AA-6451,60,15,1503,3,4,2,342,Loyal Customers
AA-6452,51,3,465,3,1,1,311,Potential
AB-100151,113,33,10662,2,4,4,244,Loyal Customers
AB-100152,252,24,6116,2,4,4,244,Loyal Customers
AB-100153,16,14,2375,4,3,3,433,Potential
AB-100154,415,6,887,1,1,2,112,At Risk
AB-100601,81,13,2107,3,3,3,333,Potential
AB-100602,226,7,3345,2,2,3,223,Potential
AB-100603,42,19,5210,3,4,4,344,Loyal Customers
AB-100604,54,18,7757,3,4,4,344,Loyal Customers
AB-101051,216,14,4309,2,3,4,234,Potential
AB-101052,27,13,2949,4,3,3,433,Potential
AB-101053,32,15,1234,4,4,2,442,Loyal Customers
AB-101054,41,20,14476,4,4,4,444,Champions
AB-101501,110,4,429,2,1,1,211,Potential
AB-101502,103,13,9139,3,3,4,334,Potential
AB-101503,35,18,2523,4,4,3,443,Loyal Customers
AB-101504,41,12,969,4,3,2,432,Potential
AB-101651,389,10,3435,1,2,3,123,At Risk
AB-101652,13,22,6437,4,4,4,444,Champions
AB-101653,60,6,668,3,1,1,311,Potential
AB-101654,25,14,1114,4,3,2,432,Potential
AB-102551,190,15,4277,2,4,4,244,Loyal Customers
